Mid-Bin Energy (keV), Fluence (photons/mm2)
1.5,3.12075E-22
2.5,4.95805E-70
3.5,8.74348E-24
4.5,4.39888E-08
5.5,0.291424813
6.5,719.5766999
7.5,52458.97665
8.5,817465.8439
9.5,3166632.101
10.5,6705362.774
11.5,11814262.57
12.5,16803832.6
13.5,23192338.13
14.5,29172531.57
15.5,34589340.26
16.5,37469434.3
17.5,39559345.57
18.5,40084687.94
19.5,39498961.17
20.5,38835304.64
21.5,36237873.05
22.5,34248782.37
23.5,29693149.63
24.5,26950618.85
25.5,22462969.92
26.5,18120157.08
27.5,13052230.98
28.5,8637817.258
29.5,3503293.55
